timestamp,hostname,aws region,event type,origin ids,origin type,user id,organization id,retention days,storage location,msp organization id,session id,session type,vpn profile,public ip,assigned ip,connected at,disconnection reason,os version,anyconnect version,asa syslog id,device id,machine id,public ipv6,assigned ipv6,security group tag,dap record name,dap connection type,failed reasons,log message,asa syslog severity,asa syslog class,asa syslog description
"2025-07-27 00:44:35","eu-vpn-gw-2","sa-east-1","DISCONNECTED","[1699911205]","7","baran","8236318","365","us","","4693","TLS","CiscoSecureAccessVPN","91.230.69.129","172.16.108.71","2025-07-26T18:00:53Z","Re-authentication","Windows 11 23H2","5.1.2.42","ASA-6-113039","DEVICE-W-8412","","n/a","n/a","10","","","[]","Session disconnected","3","ERROR","AAA-ERROR"
"2025-08-07 18:32:27","hq-vpn-gw-2","ap-northeast-1","DISCONNECTED","[1723219127]","7","alice","8236318","365","us","","7237","IKEv2","CiscoSecureAccessVPN","32.63.238.230","10.10.63.97","2025-08-07T16:06:23Z","User Requested","Mac OS X 13.6","5.1.0.91","ASA-6-113039","DEVICE-M-9750","","n/a","n/a","10","","","[]","Session disconnected","3","ERROR","AAA-ERROR"
"2025-07-31 06:56:57","latam-vpn-gw-1","ap-southeast-1","CONNECTED","[774557000]","7","selin","8236318","365","us","","9829","IKEv2","CiscoSecureAccessVPN","49.154.26.37","172.16.205.118","","","Android 14","4.10.06079","ASA-5-109201","DEVICE-W-4130","","n/a","n/a","10","","","[]","Session connected successfully","3","ERROR","AAA-ERROR"
"2025-08-08 06:21:43","hq-vpn-gw-2","sa-east-1","DISCONNECTED","[1109111090]","7","grace","8236318","365","us","","9345","TLS","CiscoSecureAccessVPN","15.88.113.213","192.168.103.216","2025-08-08T04:18:48Z","Admin Logout","Android 14","5.0.03120","ASA-5-109201","DEVICE-L-3237","","n/a","n/a","10","","","[]","Session disconnected","3","ERROR","AAA-ERROR"
"2025-08-04 06:41:20","hq-vpn-gw-1","eu-west-1","CONNECTED","[1189497668]","7","rick","8236318","365","us","","2215","TLS","CiscoSecureAccessVPN","119.116.10.15","192.168.212.74","","","Windows 10 22H2","5.1.2.42","ASA-3-113015","DEVICE-W-1672","","n/a","n/a","10","","","[]","Session connected successfully","3","ERROR","AAA-ERROR"
"2025-08-15 02:49:07","hq-vpn-gw-1","us-west-2","CONNECTED","[624858482]","7","burak","8236318","365","us","","3002","TLS","CiscoSecureAccessVPN","124.48.9.214","10.10.46.160","","","Ubuntu 24.04","4.10.06079","ASA-5-109201","DEVICE-M-2600","","n/a","n/a","10","","","[]","Session connected successfully","4","WARNING","AAA-WARN"
"2025-07-26 13:28:53","apac-vpn-gw-1","us-east-1","CONNECTED","[1512558087]","7","gizem","8236318","365","us","","1939","IKEv2","CiscoSecureAccessVPN","110.127.84.136","10.10.99.146","","","Mac OS X 13.6","5.0.05040","ASA-6-113039","DEVICE-M-2160","","n/a","n/a","10","","","[]","Session connected successfully","4","WARNING","AAA-WARN"
"2025-07-28 00:58:05","latam-vpn-gw-1","eu-west-1","CONNECTED","[961647966]","7","sinem","8236318","365","us","","3200","TLS","CiscoSecureAccessVPN","157.18.100.8","10.10.20.46","","","Ubuntu 22.04","5.1.2.42","ASA-5-109201","DEVICE-W-9247","","n/a","n/a","10","","","[]","Session connected successfully","3","ERROR","AAA-ERROR"
"2025-08-05 17:52:51","eu-vpn-gw-2","eu-west-1","CONNECTED","[1902406231]","7","sybil","8236318","365","us","","9231","TLS","CiscoSecureAccessVPN","36.151.91.218","10.10.114.192","","","Android 14","5.1.0.91","ASA-5-109201","DEVICE-M-8802","","n/a","n/a","10","","","[]","Session connected successfully","4","WARNING","AAA-WARN"
"2025-07-22 19:26:51","apac-vpn-gw-1","sa-east-1","DISCONNECTED","[892749782]","7","mallory","8236318","365","us","","2581","IKEv2","CiscoSecureAccessVPN","174.169.89.208","172.16.150.112","2025-07-22T15:10:08Z","User Requested","Ubuntu 22.04","5.0.05040","ASA-3-113015","DEVICE-M-7223","","n/a","n/a","10","","","[]","Session disconnected","5","INFORMATION","AAA-INFO"
"2025-08-16 23:14:47","hq-vpn-gw-1","us-east-1","FAILED","[1865979950]","7","zach","8236318","365","us","","7497","IKEv2","CiscoSecureAccessVPN","23.93.150.168","172.16.69.194","","","Windows 11 23H2","5.1.0.91","ASA-3-113015","DEVICE-L-2738","","n/a","n/a","10","","","["CERT-AUTH-CHECK"]","AAA Marking param1 server param2 as FAILED","4","WARNING","AAA-WARN"
"2025-08-07 20:42:09","apac-vpn-gw-1","eu-west-1","DISCONNECTED","[1302705551]","7","ursula","8236318","365","us","","1134","IKEv2","CiscoSecureAccessVPN","35.118.122.19","10.10.226.114","2025-08-07T13:21:31Z","Network Error","Android 14","5.1.2.42","ASA-6-113039","DEVICE-W-9223","","n/a","n/a","10","","","[]","Session disconnected","3","ERROR","AAA-ERROR"
"2025-08-18 10:04:07","apac-vpn-gw-1","ap-northeast-1","DISCONNECTED","[619206078]","7","charlie","8236318","365","us","","7290","IKEv2","CiscoSecureAccessVPN","101.146.30.172","192.168.62.244","2025-08-18T02:22:41Z","Admin Logout","Mac OS X 13.6","5.1.2.42","ASA-6-113039","DEVICE-L-2315","","n/a","n/a","10","","","[]","Session disconnected","3","ERROR","AAA-ERROR"
"2025-08-03 18:33:47","eu-vpn-gw-1","eu-west-1","DISCONNECTED","[1478158250]","7","diana","8236318","365","us","","7065","IKEv2","CiscoSecureAccessVPN","15.21.242.232","10.10.233.60","2025-08-03T16:16:44Z","Idle Timeout","Ubuntu 22.04","5.0.03120","ASA-4-113019","DEVICE-M-1475","","n/a","n/a","10","","","[]","Session disconnected","3","ERROR","AAA-ERROR"
"2025-07-27 00:29:07","eu-vpn-gw-2","eu-central-1","DISCONNECTED","[1474840553]","7","rick","8236318","365","us","","3585","IKEv2","CiscoSecureAccessVPN","37.57.130.71","172.16.116.114","2025-07-26T20:04:08Z","Admin Logout","Ubuntu 24.04","5.0.03120","ASA-5-109201","DEVICE-L-2333","","n/a","n/a","10","","","[]","Session disconnected","3","ERROR","AAA-ERROR"
"2025-08-10 17:54:16","hq-vpn-gw-1","sa-east-1","FAILED","[1678413915]","7","baran","8236318","365","us","","3865","TLS","CiscoSecureAccessVPN","103.150.182.156","172.16.5.212","","","Ubuntu 22.04","5.1.0.91","ASA-5-109201","DEVICE-L-4054","","n/a","n/a","10","","","["AUTHORIZATION-CHECK"]","AAA Marking param1 server param2 as FAILED","3","ERROR","AAA-ERROR"
"2025-07-26 06:44:55","latam-vpn-gw-1","us-west-2","FAILED","[366242635]","7","selin","8236318","365","us","","4694","TLS","CiscoSecureAccessVPN","63.240.149.180","192.168.226.230","","","Windows 11 23H2","5.0.05040","ASA-3-113015","DEVICE-L-9367","","n/a","n/a","10","","","["CERT-AUTH-CHECK"]","AAA Marking param1 server param2 as FAILED","5","INFORMATION","AAA-INFO"
"2025-08-01 20:43:31","hq-vpn-gw-1","us-west-2","DISCONNECTED","[791912873]","7","fatma","8236318","365","us","","5566","IKEv2","CiscoSecureAccessVPN","213.214.100.70","10.10.190.168","2025-08-01T13:11:42Z","Network Error","Mac OS X 14.6.1","5.0.05040","ASA-6-113039","DEVICE-L-9205","","n/a","n/a","10","","","[]","Session disconnected","3","ERROR","AAA-ERROR"
"2025-08-17 08:56:19","eu-vpn-gw-2","us-east-1","DISCONNECTED","[1287653701]","7","diana","8236318","365","us","","8264","IKEv2","CiscoSecureAccessVPN","187.1.208.241","192.168.218.211","2025-08-17T03:33:28Z","User Requested","Windows 11 23H2","5.0.05040","ASA-4-113019","DEVICE-W-5565","","n/a","n/a","10","","","[]","Session disconnected","3","ERROR","AAA-ERROR"
"2025-07-28 09:32:18","eu-vpn-gw-2","us-east-1","DISCONNECTED","[1621795376]","7","can","8236318","365","us","","6004","TLS","CiscoSecureAccessVPN","120.106.249.37","192.168.223.65","2025-07-28T04:07:46Z","Admin Logout","Ubuntu 24.04","5.1.2.42","ASA-5-109201","DEVICE-W-1009","","n/a","n/a","10","","","[]","Session disconnected","4","WARNING","AAA-WARN"
"2025-08-14 15:48:16","latam-vpn-gw-1","us-west-2","CONNECTED","[293451069]","7","gizem","8236318","365","us","","9383","IKEv2","CiscoSecureAccessVPN","186.186.26.232","192.168.164.60","","","Android 14","5.1.0.91","ASA-6-113039","DEVICE-W-1820","","n/a","n/a","10","","","[]","Session connected successfully","5","INFORMATION","AAA-INFO"
"2025-08-01 02:27:44","hq-vpn-gw-1","ap-southeast-1","DISCONNECTED","[1955608076]","7","ayse","8236318","365","us","","4625","IKEv2","CiscoSecureAccessVPN","5.67.142.240","172.16.148.185","2025-07-31T23:35:51Z","Idle Timeout","iOS 17.5","5.1.0.91","ASA-4-113019","DEVICE-M-6404","","n/a","n/a","10","","","[]","Session disconnected","3","ERROR","AAA-ERROR"
"2025-08-12 13:54:58","hq-vpn-gw-2","eu-west-1","DISCONNECTED","[1931909878]","7","mehmet","8236318","365","us","","5965","TLS","CiscoSecureAccessVPN","197.118.217.1","192.168.233.184","2025-08-12T07:45:40Z","Admin Logout","Mac OS X 13.6","5.1.2.42","ASA-5-109201","DEVICE-M-6715","","n/a","n/a","10","","","[]","Session disconnected","3","ERROR","AAA-ERROR"
"2025-08-02 23:38:48","eu-vpn-gw-2","ap-northeast-1","DISCONNECTED","[866511863]","7","baran","8236318","365","us","","6143","TLS","CiscoSecureAccessVPN","89.178.116.253","10.10.233.252","2025-08-02T23:19:35Z","Re-authentication","Mac OS X 14.6.1","5.1.2.42","ASA-5-109201","DEVICE-W-2860","","n/a","n/a","10","","","[]","Session disconnected","5","INFORMATION","AAA-INFO"
"2025-08-02 10:56:48","latam-vpn-gw-1","ap-southeast-1","CONNECTED","[104572242]","7","mert","8236318","365","us","","6538","IKEv2","CiscoSecureAccessVPN","123.208.53.11","172.16.188.153","","","Windows 11 23H2","5.0.03120","ASA-4-113019","DEVICE-L-5098","","n/a","n/a","10","","","[]","Session connected successfully","4","WARNING","AAA-WARN"
"2025-08-16 22:02:44","latam-vpn-gw-1","ap-southeast-1","CONNECTED","[1012316385]","7","sybil","8236318","365","us","","1374","IKEv2","CiscoSecureAccessVPN","92.16.132.182","172.16.205.58","","","Mac OS X 13.6","5.1.0.91","ASA-6-113039","DEVICE-M-3938","","n/a","n/a","10","","","[]","Session connected successfully","3","ERROR","AAA-ERROR"
"2025-07-24 01:50:45","hq-vpn-gw-1","sa-east-1","DISCONNECTED","[1062477583]","7","fatma","8236318","365","us","","8767","TLS","CiscoSecureAccessVPN","8.80.198.35","172.16.235.188","2025-07-23T21:58:15Z","Re-authentication","Mac OS X 13.6","4.10.06079","ASA-3-113015","DEVICE-L-7989","","n/a","n/a","10","","","[]","Session disconnected","4","WARNING","AAA-WARN"
"2025-08-07 14:03:22","eu-vpn-gw-1","ap-northeast-1","DISCONNECTED","[498830212]","7","bob","8236318","365","us","","9638","TLS","CiscoSecureAccessVPN","123.26.14.102","192.168.83.191","2025-08-07T08:06:13Z","Idle Timeout","iOS 17.5","5.1.2.42","ASA-4-113019","DEVICE-W-3746","","n/a","n/a","10","","","[]","Session disconnected","4","WARNING","AAA-WARN"
"2025-08-11 06:30:41","us-vpn-gw-1","eu-west-1","DISCONNECTED","[1591479383]","7","burak","8236318","365","us","","9826","IKEv2","CiscoSecureAccessVPN","132.134.52.186","10.10.58.168","2025-08-11T04:19:18Z","Network Error","Windows 10 22H2","5.1.0.91","ASA-4-113019","DEVICE-L-3534","","n/a","n/a","10","","","[]","Session disconnected","3","ERROR","AAA-ERROR"
"2025-07-29 01:21:29","hq-vpn-gw-1","us-east-1","DISCONNECTED","[1190756723]","7","heidi","8236318","365","us","","8878","TLS","CiscoSecureAccessVPN","32.3.141.22","192.168.48.96","2025-07-28T21:53:17Z","Admin Logout","iOS 17.5","5.1.2.42","ASA-6-113039","DEVICE-M-4854","","n/a","n/a","10","","","[]","Session disconnected","4","WARNING","AAA-WARN"
"2025-08-11 22:27:50","eu-vpn-gw-2","ap-southeast-1","CONNECTED","[1847195616]","7","mallory","8236318","365","us","","1975","TLS","CiscoSecureAccessVPN","155.244.99.252","192.168.174.111","","","Ubuntu 22.04","5.0.05040","ASA-4-113019","DEVICE-L-5752","","n/a","n/a","10","","","[]","Session connected successfully","3","ERROR","AAA-ERROR"
"2025-08-18 10:20:16","apac-vpn-gw-1","eu-west-1","CONNECTED","[1796931934]","7","mallory","8236318","365","us","","2111","TLS","CiscoSecureAccessVPN","77.130.141.83","10.10.29.176","","","Ubuntu 24.04","5.1.0.91","ASA-3-113015","DEVICE-L-1477","","n/a","n/a","10","","","[]","Session connected successfully","5","INFORMATION","AAA-INFO"
"2025-08-06 21:18:10","eu-vpn-gw-2","sa-east-1","FAILED","[1261878311]","7","mallory","8236318","365","us","","3861","TLS","CiscoSecureAccessVPN","98.99.8.227","172.16.244.185","","","Mac OS X 13.6","5.0.03120","ASA-4-113019","DEVICE-M-3669","","n/a","n/a","10","","","["AUTHORIZATION-CHECK"]","AAA Marking param1 server param2 as FAILED","3","ERROR","AAA-ERROR"
"2025-07-21 20:03:57","hq-vpn-gw-1","us-west-2","CONNECTED","[1839275122]","7","grace","8236318","365","us","","4758","TLS","CiscoSecureAccessVPN","212.197.188.179","172.16.226.14","","","Windows 11 23H2","4.10.06079","ASA-6-113039","DEVICE-M-4401","","n/a","n/a","10","","","[]","Session connected successfully","5","INFORMATION","AAA-INFO"
"2025-07-29 05:34:47","hq-vpn-gw-1","sa-east-1","CONNECTED","[623755005]","7","quinn","8236318","365","us","","8074","TLS","CiscoSecureAccessVPN","116.20.109.136","172.16.152.126","","","Mac OS X 14.6.1","4.10.06079","ASA-4-113019","DEVICE-M-1492","","n/a","n/a","10","","","[]","Session connected successfully","5","INFORMATION","AAA-INFO"
"2025-08-04 07:51:37","latam-vpn-gw-1","ap-southeast-1","DISCONNECTED","[1672945968]","7","elif","8236318","365","us","","6824","TLS","CiscoSecureAccessVPN","180.149.123.22","10.10.74.224","2025-08-04T04:39:40Z","Admin Logout","Windows 10 22H2","5.0.03120","ASA-6-113039","DEVICE-W-2098","","n/a","n/a","10","","","[]","Session disconnected","4","WARNING","AAA-WARN"
"2025-08-12 22:13:18","hq-vpn-gw-1","us-east-1","DISCONNECTED","[764159870]","7","victor","8236318","365","us","","3317","TLS","CiscoSecureAccessVPN","118.102.43.118","10.10.168.38","2025-08-12T16:10:00Z","Idle Timeout","Mac OS X 13.6","5.0.05040","ASA-6-113039","DEVICE-W-2316","","n/a","n/a","10","","","[]","Session disconnected","5","INFORMATION","AAA-INFO"
"2025-08-11 23:19:36","apac-vpn-gw-1","sa-east-1","FAILED","[292781854]","7","karen","8236318","365","us","","2783","IKEv2","CiscoSecureAccessVPN","37.75.88.248","10.10.162.100","","","Ubuntu 24.04","5.0.03120","ASA-4-113019","DEVICE-L-6020","","n/a","n/a","10","","","["AUTHORIZATION-CHECK"]","AAA Marking param1 server param2 as FAILED","3","ERROR","AAA-ERROR"
"2025-08-06 06:59:35","apac-vpn-gw-1","us-west-2","CONNECTED","[1522229080]","7","fatma","8236318","365","us","","6269","TLS","CiscoSecureAccessVPN","54.118.246.154","192.168.4.234","","","Mac OS X 14.6.1","5.1.2.42","ASA-3-113015","DEVICE-M-1156","","n/a","n/a","10","","","[]","Session connected successfully","4","WARNING","AAA-WARN"
"2025-07-26 05:51:48","eu-vpn-gw-2","us-west-2","FAILED","[1340352923]","7","sybil","8236318","365","us","","9884","IKEv2","CiscoSecureAccessVPN","159.2.120.89","10.10.76.199","","","Mac OS X 13.6","5.0.05040","ASA-5-109201","DEVICE-W-9199","","n/a","n/a","10","","","["CERT-AUTH-CHECK"]","AAA Marking param1 server param2 as FAILED","5","INFORMATION","AAA-INFO"
"2025-08-14 07:38:54","us-vpn-gw-1","sa-east-1","CONNECTED","[1693785930]","7","ned","8236318","365","us","","8906","TLS","CiscoSecureAccessVPN","84.242.112.43","172.16.1.126","","","Mac OS X 13.6","5.0.05040","ASA-6-113039","DEVICE-M-1201","","n/a","n/a","10","","","[]","Session connected successfully","3","ERROR","AAA-ERROR"
"2025-08-05 05:39:42","eu-vpn-gw-2","ap-northeast-1","FAILED","[558930797]","7","ayse","8236318","365","us","","3810","IKEv2","CiscoSecureAccessVPN","20.20.158.195","192.168.123.9","","","Windows 10 22H2","5.1.2.42","ASA-3-113015","DEVICE-M-4897","","n/a","n/a","10","","","["CERT-AUTH-CHECK"]","AAA Marking param1 server param2 as FAILED","5","INFORMATION","AAA-INFO"
"2025-07-28 23:35:06","apac-vpn-gw-1","us-west-2","DISCONNECTED","[1483769372]","7","trent","8236318","365","us","","6290","IKEv2","CiscoSecureAccessVPN","72.94.244.168","192.168.235.19","2025-07-28T19:20:14Z","Idle Timeout","iOS 17.5","5.1.2.42","ASA-6-113039","DEVICE-L-7974","","n/a","n/a","10","","","[]","Session disconnected","4","WARNING","AAA-WARN"
"2025-08-17 23:13:28","eu-vpn-gw-2","ap-southeast-1","DISCONNECTED","[1123647394]","7","fatma","8236318","365","us","","3481","TLS","CiscoSecureAccessVPN","27.191.125.89","192.168.87.113","2025-08-17T15:19:56Z","Admin Logout","Android 14","4.10.06079","ASA-5-109201","DEVICE-W-3043","","n/a","n/a","10","","","[]","Session disconnected","3","ERROR","AAA-ERROR"
"2025-08-13 14:15:30","hq-vpn-gw-2","eu-central-1","DISCONNECTED","[235566857]","7","mert","8236318","365","us","","9623","IKEv2","CiscoSecureAccessVPN","91.242.221.79","172.16.113.190","2025-08-13T12:58:05Z","Re-authentication","Ubuntu 24.04","5.0.05040","ASA-5-109201","DEVICE-M-3641","","n/a","n/a","10","","","[]","Session disconnected","4","WARNING","AAA-WARN"
"2025-08-16 02:14:17","latam-vpn-gw-1","ap-southeast-1","FAILED","[465780626]","7","ayse","8236318","365","us","","7846","TLS","CiscoSecureAccessVPN","115.21.45.20","10.10.253.51","","","Android 14","5.1.2.42","ASA-4-113019","DEVICE-W-1418","","n/a","n/a","10","","","["AUTHORIZATION-CHECK"]","AAA Marking param1 server param2 as FAILED","3","ERROR","AAA-ERROR"
"2025-07-26 23:21:20","eu-vpn-gw-1","ap-northeast-1","CONNECTED","[1683126912]","7","diana","8236318","365","us","","8107","IKEv2","CiscoSecureAccessVPN","15.163.91.36","10.10.108.217","","","Windows 10 22H2","5.1.2.42","ASA-6-113039","DEVICE-M-1396","","n/a","n/a","10","","","[]","Session connected successfully","3","ERROR","AAA-ERROR"
"2025-08-04 13:45:45","eu-vpn-gw-1","sa-east-1","DISCONNECTED","[604503714]","7","sinem","8236318","365","us","","9957","TLS","CiscoSecureAccessVPN","211.157.175.113","172.16.157.32","2025-08-04T10:03:49Z","Idle Timeout","iOS 17.5","5.0.05040","ASA-5-109201","DEVICE-M-3321","","n/a","n/a","10","","","[]","Session disconnected","3","ERROR","AAA-ERROR"
"2025-07-24 20:01:18","us-vpn-gw-1","eu-west-1","DISCONNECTED","[707509343]","7","karen","8236318","365","us","","7347","TLS","CiscoSecureAccessVPN","199.87.174.154","10.10.202.162","2025-07-24T14:27:16Z","Network Error","Ubuntu 24.04","5.1.2.42","ASA-6-113039","DEVICE-M-7333","","n/a","n/a","10","","","[]","Session disconnected","3","ERROR","AAA-ERROR"
"2025-08-06 01:04:16","us-vpn-gw-1","us-east-1","DISCONNECTED","[1100457659]","7","berfin","8236318","365","us","","7581","IKEv2","CiscoSecureAccessVPN","26.140.167.150","10.10.118.133","2025-08-06T00:01:48Z","Re-authentication","iOS 17.5","4.10.06079","ASA-6-113039","DEVICE-W-9397","","n/a","n/a","10","","","[]","Session disconnected","3","ERROR","AAA-ERROR"
"2025-08-08 07:00:20","apac-vpn-gw-1","ap-northeast-1","DISCONNECTED","[1311230171]","7","charlie","8236318","365","us","","2158","IKEv2","CiscoSecureAccessVPN","77.31.5.53","172.16.207.148","2025-08-07T23:13:32Z","Re-authentication","Android 14","5.1.0.91","ASA-4-113019","DEVICE-L-9905","","n/a","n/a","10","","","[]","Session disconnected","5","INFORMATION","AAA-INFO"
"2025-08-06 10:43:27","eu-vpn-gw-2","eu-central-1","CONNECTED","[1824783139]","7","can","8236318","365","us","","2420","IKEv2","CiscoSecureAccessVPN","81.62.143.57","10.10.242.97","","","iOS 17.5","5.1.0.91","ASA-6-113039","DEVICE-L-4223","","n/a","n/a","10","","","[]","Session connected successfully","4","WARNING","AAA-WARN"
"2025-07-23 16:58:38","us-vpn-gw-2","us-west-2","FAILED","[1695726218]","7","charlie","8236318","365","us","","8365","IKEv2","CiscoSecureAccessVPN","19.42.124.198","172.16.134.39","","","Mac OS X 14.6.1","5.0.05040","ASA-4-113019","DEVICE-W-3969","","n/a","n/a","10","","","["AUTHORIZATION-CHECK"]","AAA Marking param1 server param2 as FAILED","5","INFORMATION","AAA-INFO"
"2025-08-18 11:08:21","hq-vpn-gw-2","eu-west-1","CONNECTED","[572367285]","7","mehmet","8236318","365","us","","7978","TLS","CiscoSecureAccessVPN","148.121.40.172","10.10.152.192","","","Android 14","5.0.03120","ASA-3-113015","DEVICE-L-2716","","n/a","n/a","10","","","[]","Session connected successfully","4","WARNING","AAA-WARN"
"2025-08-05 09:16:22","hq-vpn-gw-2","us-east-1","DISCONNECTED","[200838873]","7","charlie","8236318","365","us","","2742","TLS","CiscoSecureAccessVPN","101.92.214.171","172.16.223.83","2025-08-05T03:45:02Z","User Requested","Ubuntu 22.04","5.1.0.91","ASA-6-113039","DEVICE-L-5073","","n/a","n/a","10","","","[]","Session disconnected","5","INFORMATION","AAA-INFO"
"2025-07-27 18:30:15","eu-vpn-gw-2","eu-central-1","CONNECTED","[1093505444]","7","xavier","8236318","365","us","","4733","TLS","CiscoSecureAccessVPN","168.206.98.6","172.16.25.36","","","Windows 10 22H2","5.1.2.42","ASA-6-113039","DEVICE-M-8664","","n/a","n/a","10","","","[]","Session connected successfully","4","WARNING","AAA-WARN"
"2025-07-28 05:09:24","eu-vpn-gw-2","us-west-2","CONNECTED","[1339741371]","7","mert","8236318","365","us","","9306","TLS","CiscoSecureAccessVPN","99.208.178.141","10.10.164.163","","","iOS 17.5","5.1.2.42","ASA-6-113039","DEVICE-L-2421","","n/a","n/a","10","","","[]","Session connected successfully","5","INFORMATION","AAA-INFO"
"2025-08-11 10:21:53","eu-vpn-gw-2","ap-southeast-1","DISCONNECTED","[1761581536]","7","mallory","8236318","365","us","","3938","IKEv2","CiscoSecureAccessVPN","8.167.238.127","172.16.30.85","2025-08-11T03:40:49Z","Re-authentication","Windows 10 22H2","5.1.2.42","ASA-3-113015","DEVICE-L-7347","","n/a","n/a","10","","","[]","Session disconnected","3","ERROR","AAA-ERROR"
"2025-07-20 19:39:29","apac-vpn-gw-1","us-west-2","DISCONNECTED","[1598446888]","7","leo","8236318","365","us","","6309","TLS","CiscoSecureAccessVPN","150.159.213.104","10.10.11.8","2025-07-20T13:38:36Z","Re-authentication","Mac OS X 14.6.1","5.0.05040","ASA-5-109201","DEVICE-L-2740","","n/a","n/a","10","","","[]","Session disconnected","4","WARNING","AAA-WARN"
"2025-07-26 10:01:48","us-vpn-gw-2","ap-southeast-1","DISCONNECTED","[942981833]","7","ursula","8236318","365","us","","2871","TLS","CiscoSecureAccessVPN","91.217.118.159","10.10.208.173","2025-07-26T05:12:36Z","Network Error","Ubuntu 22.04","4.10.06079","ASA-5-109201","DEVICE-L-3194","","n/a","n/a","10","","","[]","Session disconnected","5","INFORMATION","AAA-INFO"
