2025-07-19 23:20:44 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=193.52.230.21; Destination=66.28.70.94; QNAME=vpn.eljcicax.xyz; QTYPE=A; RCODE=NOERROR
2025-07-20 02:12:00 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=119.103.209.181; Destination=109.135.213.162; QNAME=assets.htlnnbxal.net; QTYPE=SRV; RCODE=SERVFAIL
2025-07-20 02:18:42 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=210.212.95.127; Destination=90.44.198.25; QNAME=updates.jmvsb.xyz; QTYPE=AAAA; RCODE=NXDOMAIN
2025-07-20 02:20:21 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=220.151.12.181; Destination=69.239.246.83; QNAME=secure.nllkdu.biz; QTYPE=AAAA; RCODE=NOERROR
2025-07-20 02:26:25 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=194.123.38.66; Destination=117.19.226.184; QNAME=mail.nyqfpdbkf.io; QTYPE=MX; RCODE=SERVFAIL
2025-07-20 02:54:44 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=157.0.100.194; Destination=153.253.206.161; QNAME=assets.msfspprq.xyz; QTYPE=MX; RCODE=NOERROR
2025-07-20 02:55:42 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=59.69.215.127; Destination=124.171.126.128; QNAME=mail.dgcaf.co; QTYPE=MX; RCODE=SERVFAIL
2025-07-20 03:13:06 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=36.26.166.143; Destination=165.62.226.146; QNAME=www.ajgyexa.org; QTYPE=A; RCODE=FORMERR
2025-07-20 03:22:36 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=73.237.72.174; Destination=174.62.211.213; QNAME=www.ikowu.com; QTYPE=NS; RCODE=NXDOMAIN
2025-07-20 03:22:45 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=65.12.230.253; Destination=124.128.100.114; QNAME=www.cfdpze.io; QTYPE=AAAA; RCODE=REFUSED
2025-07-20 03:27:43 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=122.161.97.237; Destination=62.108.31.174; QNAME=status.vfgoxzmk.net; QTYPE=PTR; RCODE=NXDOMAIN
2025-07-20 03:33:40 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=163.128.255.128; Destination=115.90.12.122; QNAME=assets.zxrfqrfw.xyz; QTYPE=CAA; RCODE=SERVFAIL
2025-07-20 03:35:26 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=126.2.108.32; Destination=22.145.34.177; QNAME=login.nhzxry.xyz; QTYPE=CAA; RCODE=SERVFAIL
2025-07-20 03:37:37 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=167.123.96.6; Destination=152.232.190.172; QNAME=repo.ddblxonszr.org; QTYPE=TXT; RCODE=NXDOMAIN
2025-07-20 03:56:36 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=76.196.133.255; Destination=31.162.240.27; QNAME=secure.vvslec.net; QTYPE=AAAA; RCODE=SERVFAIL
2025-07-20 04:01:13 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=8.3.213.8; Destination=75.169.105.66; QNAME=secure.egemohbneu.info; QTYPE=A; RCODE=NXDOMAIN
2025-07-20 04:02:38 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=182.154.168.191; Destination=198.133.55.167; QNAME=status.ooyenvfe.co; QTYPE=A; RCODE=FORMERR
2025-07-20 04:06:39 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=16.10.76.155; Destination=11.136.175.172; QNAME=updates.wwxgdmuxgt.biz; QTYPE=AAAA; RCODE=SERVFAIL
2025-07-20 04:08:14 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=184.235.254.180; Destination=67.67.42.22; QNAME=mail.pnufplt.co; QTYPE=MX; RCODE=SERVFAIL
2025-07-20 04:09:51 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=173.39.88.96; Destination=99.243.76.30; QNAME=cdn.piuxyfi.dev; QTYPE=SOA; RCODE=NOERROR
2025-07-20 04:25:08 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=139.78.247.154; Destination=53.84.226.158; QNAME=portal.rjajtu.dev; QTYPE=CAA; RCODE=SERVFAIL
2025-07-20 04:41:11 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=165.151.33.111; Destination=90.183.18.7; QNAME=www.bfcrehgfa.com; QTYPE=NS; RCODE=NOERROR
2025-07-20 04:42:32 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=19.238.244.206; Destination=88.228.30.192; QNAME=repo.ilfjsphzq.org; QTYPE=MX; RCODE=NXDOMAIN
2025-07-20 04:43:10 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=213.212.150.72; Destination=119.13.191.186; QNAME=mail.qkkldgnzs.dev; QTYPE=SOA; RCODE=FORMERR
2025-07-20 04:47:11 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=180.69.100.63; Destination=169.76.61.20; QNAME=api.yqwqdr.co; QTYPE=A; RCODE=REFUSED
2025-07-20 04:47:57 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=105.226.141.55; Destination=21.210.158.167; QNAME=status.zfcrirjf.com; QTYPE=NS; RCODE=REFUSED
2025-07-20 05:01:17 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=24.156.134.4; Destination=51.248.224.200; QNAME=status.qgmjbgxztz.org; QTYPE=A; RCODE=NOERROR
2025-07-20 05:02:03 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=134.190.230.238; Destination=130.110.149.197; QNAME=vpn.weezqnzn.biz; QTYPE=NS; RCODE=NOERROR
2025-07-20 05:02:23 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=193.187.254.62; Destination=82.177.11.185; QNAME=mail.qwnql.co; QTYPE=PTR; RCODE=NOERROR
2025-07-20 05:14:35 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=131.234.52.57; Destination=100.202.159.255; QNAME=updates.zjbzatrlsw.io; QTYPE=TXT; RCODE=NOERROR
2025-07-20 05:14:48 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=222.244.112.145; Destination=86.71.226.127; QNAME=assets.eyweqngwga.info; QTYPE=CAA; RCODE=NOERROR
2025-07-20 05:16:28 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=202.171.67.114; Destination=41.23.211.166; QNAME=repo.wwxgryqtjz.dev; QTYPE=SOA; RCODE=SERVFAIL
2025-07-20 05:18:20 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=157.132.81.144; Destination=51.45.18.127; QNAME=secure.ujbeicknd.info; QTYPE=CAA; RCODE=SERVFAIL
2025-07-20 05:37:43 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=68.38.78.220; Destination=177.199.141.177; QNAME=secure.kvnovqur.xyz; QTYPE=NS; RCODE=NOERROR
2025-07-20 05:39:25 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=125.254.139.187; Destination=184.154.175.58; QNAME=secure.mjoqohagyv.info; QTYPE=A; RCODE=NXDOMAIN
2025-07-20 05:42:01 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=211.196.199.217; Destination=166.134.38.40; QNAME=portal.rajuhqhqu.net; QTYPE=NS; RCODE=FORMERR
2025-07-20 05:47:53 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=83.125.209.88; Destination=67.3.121.97; QNAME=cdn.xrdifh.info; QTYPE=MX; RCODE=SERVFAIL
2025-07-20 05:54:28 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=107.55.223.144; Destination=73.47.212.102; QNAME=secure.psbtuldsr.co; QTYPE=SRV; RCODE=NXDOMAIN
2025-07-20 06:02:55 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=217.236.128.226; Destination=78.223.154.99; QNAME=api.sqfbjgesic.info; QTYPE=A; RCODE=NXDOMAIN
2025-07-20 06:06:18 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=36.144.50.160; Destination=79.229.139.174; QNAME=updates.zoadwm.xyz; QTYPE=AAAA; RCODE=SERVFAIL
2025-07-20 06:10:26 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=211.23.93.140; Destination=44.65.243.23; QNAME=mail.gjsjinl.biz; QTYPE=SRV; RCODE=REFUSED
2025-07-20 06:10:34 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=183.44.67.104; Destination=108.212.78.137; QNAME=portal.seouctrne.biz; QTYPE=PTR; RCODE=SERVFAIL
2025-07-20 06:12:38 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=145.187.173.194; Destination=51.122.136.187; QNAME=assets.edfun.com; QTYPE=PTR; RCODE=NXDOMAIN
2025-07-20 06:12:49 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=83.175.206.252; Destination=136.77.225.89; QNAME=repo.vlwjgvay.io; QTYPE=TXT; RCODE=FORMERR
2025-07-20 06:18:45 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=132.185.96.201; Destination=190.6.176.53; QNAME=vpn.uljgw.info; QTYPE=SRV; RCODE=FORMERR
2025-07-20 06:28:33 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=219.203.53.152; Destination=185.250.110.255; QNAME=api.lbbgs.io; QTYPE=NS; RCODE=REFUSED
2025-07-20 06:29:54 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=146.144.161.166; Destination=189.163.186.248; QNAME=secure.pazbcts.net; QTYPE=TXT; RCODE=NOERROR
2025-07-20 06:54:54 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=166.5.193.218; Destination=94.79.35.82; QNAME=portal.vevnlausm.org; QTYPE=SRV; RCODE=FORMERR
2025-07-20 07:08:38 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=138.177.183.68; Destination=56.125.251.148; QNAME=mail.dwyqhtcp.com; QTYPE=CAA; RCODE=FORMERR
2025-07-20 07:27:26 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=145.98.120.22; Destination=167.9.73.237; QNAME=auth.rbvza.xyz; QTYPE=CAA; RCODE=NOERROR
2025-07-20 07:28:00 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=75.164.14.111; Destination=123.50.173.143; QNAME=secure.dysqzyyo.co; QTYPE=MX; RCODE=REFUSED
2025-07-20 07:29:02 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=23.187.39.127; Destination=116.100.81.87; QNAME=secure.mvoyi.net; QTYPE=NS; RCODE=REFUSED
2025-07-20 07:43:57 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=169.56.205.214; Destination=170.211.63.143; QNAME=updates.aomttbbap.io; QTYPE=TXT; RCODE=SERVFAIL
2025-07-20 07:44:25 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=57.116.233.111; Destination=66.226.173.50; QNAME=repo.mkionkq.co; QTYPE=CAA; RCODE=SERVFAIL
2025-07-20 08:01:05 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=162.233.97.171; Destination=126.96.47.52; QNAME=updates.ialdq.com; QTYPE=TXT; RCODE=NXDOMAIN
2025-07-20 08:03:26 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=128.28.163.245; Destination=103.63.1.140; QNAME=mail.sucgdlxyje.biz; QTYPE=AAAA; RCODE=FORMERR
2025-07-20 08:14:22 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=45.53.71.158; Destination=209.142.124.231; QNAME=updates.hegcxxyo.info; QTYPE=CAA; RCODE=SERVFAIL
2025-07-20 08:16:52 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=45.112.63.203; Destination=20.197.115.158; QNAME=mail.gujsch.info; QTYPE=SOA; RCODE=FORMERR
2025-07-20 08:19:39 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=186.61.8.126; Destination=123.168.6.163; QNAME=login.wbuerbvj.co; QTYPE=NS; RCODE=NXDOMAIN
2025-07-20 08:22:55 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=205.235.65.185; Destination=215.249.241.133; QNAME=mail.lckfgp.dev; QTYPE=SOA; RCODE=FORMERR
2025-07-20 08:28:36 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=11.16.28.74; Destination=58.241.192.134; QNAME=portal.vozrnf.org; QTYPE=SRV; RCODE=REFUSED
2025-07-20 08:36:18 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=168.13.178.250; Destination=146.92.64.115; QNAME=status.drkwpfim.co; QTYPE=SOA; RCODE=REFUSED
2025-07-20 08:42:30 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=86.190.33.210; Destination=134.220.23.81; QNAME=cdn.hwajs.info; QTYPE=TXT; RCODE=NXDOMAIN
2025-07-20 08:43:44 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=16.82.24.182; Destination=145.204.1.213; QNAME=auth.drkuugbjpg.info; QTYPE=A; RCODE=NXDOMAIN
2025-07-20 08:45:13 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=177.4.4.107; Destination=97.214.70.8; QNAME=status.hezgkyd.org; QTYPE=NS; RCODE=NXDOMAIN
2025-07-20 08:54:28 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=206.125.134.103; Destination=43.161.227.238; QNAME=auth.lkfncqfhme.dev; QTYPE=PTR; RCODE=SERVFAIL
2025-07-20 08:57:23 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=112.191.235.111; Destination=46.202.87.86; QNAME=assets.orgfwufov.xyz; QTYPE=SOA; RCODE=SERVFAIL
2025-07-20 09:01:25 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=24.118.88.161; Destination=89.193.142.37; QNAME=repo.gbygxlduc.biz; QTYPE=MX; RCODE=REFUSED
2025-07-20 09:04:56 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=19.171.193.107; Destination=207.43.130.43; QNAME=updates.uckbh.io; QTYPE=SOA; RCODE=FORMERR
2025-07-20 09:13:20 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=59.1.88.177; Destination=143.48.116.221; QNAME=www.kfzglx.co; QTYPE=CAA; RCODE=REFUSED
2025-07-20 09:16:20 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=36.133.94.146; Destination=191.90.98.218; QNAME=login.hzgzvo.biz; QTYPE=A; RCODE=SERVFAIL
2025-07-20 09:19:10 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=133.218.61.107; Destination=113.208.235.26; QNAME=mail.ngjqrzvcg.biz; QTYPE=CAA; RCODE=FORMERR
2025-07-20 09:28:50 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=82.176.237.39; Destination=129.236.72.106; QNAME=login.pwwwwplvo.info; QTYPE=NS; RCODE=NOERROR
2025-07-20 09:32:35 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=103.101.130.183; Destination=123.218.130.130; QNAME=www.ulcrcvd.org; QTYPE=AAAA; RCODE=NOERROR
2025-07-20 09:38:16 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=103.3.82.191; Destination=160.5.69.251; QNAME=auth.ikrpn.net; QTYPE=A; RCODE=REFUSED
2025-07-20 09:39:47 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=185.221.15.231; Destination=108.51.31.228; QNAME=vpn.lbaohev.io; QTYPE=A; RCODE=NOERROR
2025-07-20 09:43:54 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=56.217.168.138; Destination=145.88.89.199; QNAME=secure.esptgoz.dev; QTYPE=TXT; RCODE=SERVFAIL
2025-07-20 09:46:29 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=86.15.29.159; Destination=96.66.150.150; QNAME=repo.fvunxzs.co; QTYPE=SOA; RCODE=REFUSED
2025-07-20 09:59:56 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=42.186.196.114; Destination=115.58.105.216; QNAME=status.bommtzahx.biz; QTYPE=AAAA; RCODE=REFUSED
2025-07-20 10:04:05 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=166.6.102.24; Destination=158.175.39.251; QNAME=status.pcybpz.com; QTYPE=MX; RCODE=NXDOMAIN
2025-07-20 10:17:06 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=156.187.244.131; Destination=180.122.131.14; QNAME=mail.ntdztkkt.com; QTYPE=PTR; RCODE=REFUSED
2025-07-20 10:36:10 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=12.176.253.35; Destination=213.41.32.40; QNAME=repo.adbsxsjg.xyz; QTYPE=TXT; RCODE=REFUSED
2025-07-20 10:36:11 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=190.61.12.243; Destination=183.56.235.163; QNAME=updates.ntwhwg.com; QTYPE=MX; RCODE=REFUSED
2025-07-20 10:37:52 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=141.209.49.117; Destination=59.177.180.237; QNAME=updates.rxmcfsd.biz; QTYPE=SRV; RCODE=NXDOMAIN
2025-07-20 10:41:01 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=208.165.216.236; Destination=196.254.72.254; QNAME=login.lrrrzdxcnx.dev; QTYPE=CAA; RCODE=NXDOMAIN
2025-07-20 10:47:36 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=199.74.53.142; Destination=158.164.218.69; QNAME=login.owwth.xyz; QTYPE=MX; RCODE=NOERROR
2025-07-20 11:00:27 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=114.160.213.69; Destination=134.251.43.56; QNAME=auth.xjefczky.org; QTYPE=SRV; RCODE=NOERROR
2025-07-20 11:16:39 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=31.229.78.222; Destination=100.137.244.41; QNAME=login.xiabo.info; QTYPE=TXT; RCODE=NXDOMAIN
2025-07-20 11:21:12 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=73.2.134.42; Destination=125.59.45.86; QNAME=api.rgzilxyz.xyz; QTYPE=TXT; RCODE=NXDOMAIN
2025-07-20 11:31:18 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=108.64.220.194; Destination=97.203.104.133; QNAME=api.opwan.io; QTYPE=CAA; RCODE=FORMERR
2025-07-20 11:42:58 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=62.195.180.13; Destination=147.98.88.115; QNAME=auth.efwzwk.io; QTYPE=SRV; RCODE=NOERROR
2025-07-20 11:46:15 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=76.18.236.171; Destination=130.185.156.37; QNAME=vpn.gzysehrp.io; QTYPE=SOA; RCODE=SERVFAIL
2025-07-20 11:56:37 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=214.222.84.49; Destination=149.236.204.206; QNAME=assets.ijihcpmks.xyz; QTYPE=A; RCODE=SERVFAIL
2025-07-20 12:16:46 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=58.44.223.135; Destination=174.83.236.73; QNAME=www.frjlin.org; QTYPE=A; RCODE=REFUSED
2025-07-20 12:17:20 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=39.194.160.176; Destination=184.13.17.146; QNAME=mail.hhbuczlsnc.info; QTYPE=A; RCODE=NXDOMAIN
2025-07-20 12:17:47 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=43.180.125.143; Destination=153.210.2.26; QNAME=vpn.oeftbilct.co; QTYPE=SOA; RCODE=REFUSED
2025-07-20 12:19:47 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=215.25.116.206; Destination=59.122.30.202; QNAME=repo.ndyztsgkc.com; QTYPE=TXT; RCODE=NOERROR
2025-07-20 12:22:23 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=30.13.37.156; Destination=98.25.153.150; QNAME=assets.wxleig.io; QTYPE=CAA; RCODE=REFUSED
2025-07-20 12:34:18 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=33.163.250.217; Destination=148.164.136.247; QNAME=auth.hxkgx.dev; QTYPE=PTR; RCODE=FORMERR
2025-07-20 12:44:12 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=57.58.13.111; Destination=110.140.223.98; QNAME=cdn.mfxgg.info; QTYPE=TXT; RCODE=NXDOMAIN
2025-07-20 12:44:56 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=32.234.191.153; Destination=206.131.132.17; QNAME=login.bykzruafge.co; QTYPE=NS; RCODE=NXDOMAIN
2025-07-20 12:53:59 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=30.105.17.30; Destination=9.245.84.66; QNAME=www.wlxvhsarsg.io; QTYPE=AAAA; RCODE=NOERROR
2025-07-20 12:55:29 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=48.21.139.245; Destination=27.247.65.120; QNAME=api.zlogd.net; QTYPE=TXT; RCODE=NXDOMAIN
