# Timestamp|LogType|Server/Origin|Protocol|Source|Destination|Action|Rule/FQDN|BytesSent|BytesRecv|User/TrafficSource|Auth/Country|Policy
2025-07-26 01:08:50|TMG|SRV-WEB12|UDP|192.168.198.195:53|134.155.126.117:161|ALLOW|UDP-ACCESS-314|4391|1010|DOMAIN\user52|KERBEROS|HIGH
2025-08-07 11:58:36|TMG|SRV-APP11|ICMP|172.21.4.157|214.128.21.251|DENY|ICMP-BLOCK-241|9414|2632|guest2332|ANON|LOW
2025-07-20 03:11:31|TMG|SRV-DB9|ICMP|10.167.166.168|172.27.72.142|DENY|ICMP-BLOCK-449|527|1894|guest3978|ANON|MEDIUM
2025-07-30 19:49:46|TMG|SRV-APP1|TCP|172.29.238.72:3389|145.213.91.71:3389|DENY|TCP-BLOCK-396|5320|866|DOMAIN\user69|NTLM|HIGH
2025-08-02 20:54:24|TMG|SRV-WEB18|ICMP|192.168.111.225|126.154.239.227|DENY|ICMP-BLOCK-910|7437|1470|guest3360|ANON|LOW
2025-07-27 21:47:13|TMG|SRV-WEB7|UDP|172.21.166.121:500|230.82.78.111:161|DENY|UDP-BLOCK-163|1645|556|guest4952|ANON|LOW
2025-07-29 02:24:55|TMG|SRV-DB14|UDP|10.236.118.174:161|164.47.65.30:123|ALLOW|ALLOW-7240|4499|138|guest1693|ANON|MEDIUM
2025-07-23 14:04:04|TMG|SRV-DC5|ICMP|192.168.87.165|169.137.60.70|DENY|ICMP-BLOCK-133|5706|4680|svc-app15|AUTH|MEDIUM
2025-07-27 22:40:44|TMG|SRV-APP19|ICMP|192.168.5.99|134.25.6.31|ALLOW|ALLOW-9463|6346|2097|admin16|NTLM|LOW
2025-07-27 16:15:15|TMG|SRV-APP20|TCP|172.17.68.123:22|137.33.227.155:8443|ALLOW|TCP-ACCESS-238|8332|1363|DOMAIN\user49|NTLM|MEDIUM
2025-08-12 11:47:15|TMG|SRV-APP17|UDP|10.210.30.177:4500|49.107.255.136:123|ALLOW|ALLOW-1251|4863|48|DOMAIN\user70|NTLM|CRITICAL
2025-08-10 12:35:57|TMG|SRV-DB16|UDP|192.168.43.25:53|172.24.208.209:4500|ALLOW|UDP-ACCESS-246|9763|2409|admin1|KERBEROS|CRITICAL
2025-07-28 11:19:05|TMG|SRV-APP4|ICMP|192.168.239.60|213.141.88.86|ALLOW|ICMP-ACCESS-328|875|1365|guest9031|ANON|MEDIUM
2025-07-28 04:42:47|TMG|SRV-APP11|UDP|192.168.10.253:4500|213.98.173.42:53|ALLOW|UDP-ACCESS-619|410|2916|svc-db8|NTLM|HIGH
2025-07-23 04:57:35|TMG|SRV-APP17|TCP|10.163.99.165:8080|172.46.69.224:80|DENY|TCP-BLOCK-755|8467|769|DOMAIN\user93|AUTH|HIGH
2025-07-23 17:23:38|TMG|SRV-APP19|UDP|172.27.221.113:1194|87.52.102.127:500|DENY|UDP-BLOCK-686|9985|156|admin13|NTLM|MEDIUM
2025-08-18 06:22:36|TMG|SRV-WEB6|TCP|10.32.181.34:22|104.142.10.98:8080|ALLOW|TCP-ACCESS-431|9781|1628|svc-db14|NTLM|LOW
2025-08-10 06:48:38|TMG|SRV-DB14|TCP|172.30.231.230:80|42.35.30.96:22|DENY|TCP-BLOCK-437|2881|2340|DOMAIN\user91|NTLM|CRITICAL
2025-08-10 03:03:34|TMG|SRV-DC6|UDP|172.24.94.140:500|212.138.34.16:53|DENY|UDP-BLOCK-411|3594|4503|svc-app15|NTLM|CRITICAL
2025-07-26 17:15:50|TMG|SRV-APP19|TCP|192.168.112.24:443|46.206.113.207:22|ALLOW|TCP-ACCESS-943|5602|995|guest8273|ANON|LOW
2025-07-22 12:23:20|TMG|SRV-DB18|ICMP|10.72.40.28|192.168.223.180|DENY|ICMP-BLOCK-565|7091|736|DOMAIN\user59|NTLM|HIGH
2025-08-01 19:18:48|TMG|SRV-WEB2|ICMP|10.64.226.75|10.163.201.200|ALLOW|ICMP-ACCESS-186|5016|3458|DOMAIN\user39|AUTH|CRITICAL
2025-07-31 00:45:21|TMG|SRV-DB15|ICMP|172.25.192.179|180.72.165.213|ALLOW|ICMP-ACCESS-786|8020|2899|admin12|KERBEROS|HIGH
2025-07-21 09:11:39|TMG|SRV-DC8|ICMP|192.168.32.80|10.228.10.193|ALLOW|ALLOW-3808|8142|3223|svc-db2|AUTH|HIGH
2025-07-31 13:35:07|TMG|SRV-APP19|ICMP|10.92.239.106|192.168.1.86|DENY|ICMP-BLOCK-946|3439|1108|svc-web3|AUTH|LOW
2025-07-23 09:44:46|TMG|SRV-DB13|TCP|10.227.42.234:3389|112.31.48.26:22|ALLOW|TCP-ACCESS-507|4743|4902|admin19|NTLM|CRITICAL
2025-08-10 13:02:56|TMG|SRV-DC7|ICMP|192.168.219.10|217.206.139.149|DENY|ICMP-BLOCK-210|7937|639|DOMAIN\user74|AUTH|LOW
2025-08-10 22:38:01|TMG|SRV-DB10|ICMP|192.168.232.59|210.229.134.28|ALLOW|ICMP-ACCESS-869|2803|1764|admin20|AUTH|LOW
2025-08-11 07:05:00|TMG|SRV-DC11|UDP|192.168.74.41:123|149.95.65.216:3478|ALLOW|UDP-ACCESS-456|1788|1135|admin2|AUTH|LOW
2025-07-28 18:42:56|TMG|SRV-WEB11|TCP|172.27.4.29:80|196.230.27.249:22|DENY|TCP-BLOCK-215|8323|1486|guest7147|ANON|MEDIUM
2025-08-09 10:04:13|TMG|SRV-DC7|TCP|10.102.47.237:8443|132.38.141.139:443|DENY|TCP-BLOCK-237|3013|4728|admin19|AUTH|CRITICAL
2025-08-18 15:33:10|TMG|SRV-DC10|TCP|172.24.200.226:8080|128.142.117.205:80|DENY|TCP-BLOCK-728|6696|4115|svc-web15|AUTH|MEDIUM
2025-08-02 23:02:39|TMG|SRV-WEB1|UDP|172.23.114.203:161|244.2.8.172:3478|DENY|UDP-BLOCK-610|7191|2327|svc-db5|NTLM|HIGH
2025-07-20 16:32:27|TMG|SRV-APP2|ICMP|10.190.160.236|44.179.33.203|ALLOW|ALLOW-6855|8467|891|admin16|AUTH|CRITICAL
2025-08-15 15:50:06|TMG|SRV-DC1|ICMP|172.29.133.169|179.60.180.225|ALLOW|ALLOW-5964|2527|2546|DOMAIN\user23|NTLM|LOW
2025-07-28 05:17:03|TMG|SRV-DB2|TCP|192.168.136.188:8443|253.54.96.51:8443|DENY|TCP-BLOCK-822|6022|4819|svc-web8|KERBEROS|MEDIUM
2025-07-23 08:36:00|TMG|SRV-DB1|ICMP|172.31.32.249|205.11.174.118|ALLOW|ALLOW-1979|6236|3442|guest7603|ANON|CRITICAL
2025-08-06 15:13:30|TMG|SRV-WEB18|ICMP|172.18.212.130|206.25.56.189|DENY|ICMP-BLOCK-959|3100|561|DOMAIN\user67|NTLM|CRITICAL
2025-08-05 17:28:44|TMG|SRV-DB9|ICMP|192.168.110.22|172.26.20.199|DENY|ICMP-BLOCK-711|6971|160|guest2036|ANON|LOW
2025-07-24 01:04:33|TMG|SRV-DB11|TCP|172.23.234.180:3389|215.88.5.101:8080|DENY|TCP-BLOCK-494|5296|34|guest5385|ANON|MEDIUM
2025-08-04 12:26:19|TMG|SRV-WEB18|TCP|192.168.230.67:3389|154.202.116.24:3389|DENY|TCP-BLOCK-360|4684|3341|admin20|NTLM|CRITICAL
2025-08-08 22:26:47|TMG|SRV-APP20|TCP|10.183.178.121:3389|190.132.255.20:80|ALLOW|TCP-ACCESS-549|879|1655|guest9927|ANON|HIGH
2025-08-17 17:38:45|TMG|SRV-DC14|ICMP|172.22.34.73|172.17.105.202|ALLOW|ALLOW-3330|9260|3121|DOMAIN\user76|KERBEROS|HIGH
2025-08-11 07:41:57|TMG|SRV-DC13|TCP|172.22.80.116:443|10.35.233.103:8443|DENY|TCP-BLOCK-193|611|2024|DOMAIN\user85|AUTH|HIGH
2025-08-06 20:17:00|TMG|SRV-APP13|UDP|10.95.112.248:1194|146.127.237.217:500|DENY|UDP-BLOCK-607|3522|755|admin6|AUTH|CRITICAL
2025-08-16 17:22:30|TMG|SRV-APP18|ICMP|10.122.1.78|190.198.156.97|DENY|ICMP-BLOCK-925|9649|1246|admin5|KERBEROS|CRITICAL
2025-08-08 15:18:03|TMG|SRV-WEB16|TCP|172.22.229.247:443|86.232.119.109:3389|DENY|TCP-BLOCK-260|2725|1170|svc-app6|NTLM|CRITICAL
2025-07-24 05:07:43|TMG|SRV-DB12|UDP|172.27.127.52:4500|66.195.180.114:500|DENY|UDP-BLOCK-977|6484|1921|svc-web8|AUTH|HIGH
2025-08-03 04:45:33|TMG|SRV-DB4|ICMP|192.168.67.5|252.185.160.178|ALLOW|ALLOW-8881|3113|1593|admin13|AUTH|LOW
2025-07-28 10:44:46|TMG|SRV-DB8|ICMP|172.28.249.10|192.168.30.126|ALLOW|ICMP-ACCESS-100|636|3965|guest7986|ANON|HIGH
2025-08-18 03:50:16|TMG|SRV-DC14|TCP|172.20.231.113:443|44.194.61.26:3389|DENY|TCP-BLOCK-286|6053|708|DOMAIN\user1|AUTH|LOW
2025-07-24 17:27:24|TMG|SRV-APP10|TCP|192.168.202.119:80|236.169.217.174:443|ALLOW|TCP-ACCESS-751|5720|4181|guest8183|ANON|LOW
2025-07-29 17:12:43|TMG|SRV-WEB1|UDP|192.168.211.124:161|20.67.49.11:1194|ALLOW|UDP-ACCESS-305|2147|1154|DOMAIN\user20|AUTH|CRITICAL
2025-07-23 15:33:23|TMG|SRV-DC8|ICMP|192.168.152.234|224.77.145.118|DENY|ICMP-BLOCK-389|3730|1993|svc-db11|AUTH|MEDIUM
2025-07-29 13:06:50|TMG|SRV-DB8|ICMP|192.168.236.26|92.184.86.80|DENY|ICMP-BLOCK-744|495|1525|svc-db6|NTLM|CRITICAL
2025-08-10 15:08:40|TMG|SRV-DC3|ICMP|10.160.225.148|130.244.45.115|DENY|ICMP-BLOCK-863|2864|436|guest2328|ANON|CRITICAL
2025-08-08 02:33:56|TMG|SRV-DB6|UDP|172.17.195.213:500|192.168.249.236:1194|ALLOW|UDP-ACCESS-553|6364|606|admin1|NTLM|HIGH
2025-08-03 00:06:33|TMG|SRV-WEB16|UDP|192.168.10.151:53|81.177.166.188:53|DENY|UDP-BLOCK-656|5581|2691|DOMAIN\user33|AUTH|CRITICAL
2025-07-22 14:45:10|TMG|SRV-DC4|TCP|192.168.117.141:80|10.145.199.98:8443|DENY|TCP-BLOCK-683|1599|1969|guest9094|ANON|CRITICAL
2025-08-04 05:45:15|TMG|SRV-DC4|TCP|192.168.228.178:3389|125.143.229.181:443|ALLOW|TCP-ACCESS-289|3659|4996|svc-web7|AUTH|MEDIUM
2025-08-03 13:34:24|TMG|SRV-DB11|UDP|192.168.31.242:4500|251.226.252.54:53|DENY|UDP-BLOCK-687|4137|886|admin6|NTLM|MEDIUM
2025-08-02 14:11:43|TMG|SRV-DC6|ICMP|192.168.212.54|172.22.137.194|DENY|ICMP-BLOCK-430|6647|3461|admin10|KERBEROS|CRITICAL
2025-07-29 08:22:18|TMG|SRV-DB3|ICMP|192.168.75.253|189.77.117.77|ALLOW|ALLOW-7113|9659|1638|svc-db12|KERBEROS|MEDIUM
2025-08-17 01:27:15|TMG|SRV-APP4|UDP|192.168.242.145:3478|192.168.71.217:53|DENY|UDP-BLOCK-953|4189|3517|svc-db2|KERBEROS|LOW
2025-08-13 05:10:35|TMG|SRV-WEB10|ICMP|172.31.2.159|206.142.252.201|DENY|ICMP-BLOCK-718|6454|775|guest2900|ANON|LOW
2025-07-21 10:05:37|TMG|SRV-APP9|ICMP|172.25.117.110|248.214.159.117|DENY|ICMP-BLOCK-365|6043|2792|DOMAIN\user6|KERBEROS|LOW
2025-07-24 21:43:06|TMG|SRV-WEB8|UDP|172.24.25.106:500|139.222.163.30:161|ALLOW|UDP-ACCESS-431|9992|2021|svc-web13|AUTH|HIGH
2025-08-08 14:05:05|TMG|SRV-DC13|TCP|172.22.44.99:3389|66.150.191.180:3389|ALLOW|TCP-ACCESS-599|5601|4242|svc-web7|AUTH|CRITICAL
2025-07-22 05:45:54|TMG|SRV-WEB15|UDP|172.16.35.197:1194|172.23.12.119:1194|ALLOW|ALLOW-9216|6735|4387|guest6743|ANON|HIGH
2025-08-11 15:06:11|TMG|SRV-DC16|TCP|172.17.242.111:8080|10.240.36.185:22|ALLOW|ALLOW-8721|1602|4442|admin5|AUTH|HIGH
2025-08-08 01:12:30|TMG|SRV-APP7|TCP|192.168.85.152:3389|155.177.23.50:443|ALLOW|ALLOW-4217|757|1822|svc-app11|AUTH|CRITICAL
2025-08-03 23:53:30|TMG|SRV-DB12|TCP|192.168.167.3:80|18.155.137.68:22|DENY|TCP-BLOCK-193|5950|2944|admin2|KERBEROS|LOW
2025-08-08 07:59:40|TMG|SRV-DB2|TCP|172.25.239.201:443|144.57.108.52:3389|DENY|TCP-BLOCK-798|4581|977|svc-app12|NTLM|HIGH
2025-08-12 01:10:12|TMG|SRV-DC1|UDP|10.165.126.209:161|249.146.54.174:53|ALLOW|UDP-ACCESS-353|649|4092|DOMAIN\user3|AUTH|MEDIUM
2025-08-14 14:37:59|TMG|SRV-WEB5|ICMP|172.30.47.187|55.154.148.204|ALLOW|ICMP-ACCESS-922|2016|4612|DOMAIN\user56|NTLM|HIGH
2025-07-31 07:43:43|TMG|SRV-DC5|UDP|172.26.172.189:1194|91.204.252.152:161|DENY|UDP-BLOCK-488|944|1839|svc-web11|KERBEROS|HIGH
2025-07-25 09:07:16|TMG|SRV-DB7|UDP|172.25.100.164:161|191.226.182.25:53|DENY|UDP-BLOCK-482|7137|4220|DOMAIN\user80|NTLM|CRITICAL
2025-07-30 11:18:15|TMG|SRV-DC3|UDP|192.168.189.191:3478|85.250.133.213:1194|DENY|UDP-BLOCK-763|6469|3768|svc-app14|KERBEROS|LOW
2025-08-07 13:08:24|TMG|SRV-WEB4|TCP|172.26.61.147:80|20.149.49.9:3389|DENY|TCP-BLOCK-888|2808|4472|admin2|KERBEROS|HIGH
2025-07-30 16:29:54|TMG|SRV-APP10|ICMP|192.168.25.36|87.105.106.59|DENY|ICMP-BLOCK-405|2127|4400|DOMAIN\user36|NTLM|HIGH
2025-07-20 19:06:54|TMG|SRV-DC11|ICMP|10.37.186.196|126.97.84.34|DENY|ICMP-BLOCK-676|8347|2859|DOMAIN\user65|KERBEROS|HIGH
2025-08-18 10:36:12|TMG|SRV-DB12|ICMP|192.168.39.209|88.116.2.93|ALLOW|ALLOW-4969|4671|4837|guest1032|ANON|HIGH
2025-07-26 04:26:30|TMG|SRV-WEB15|UDP|10.156.55.214:3478|70.154.72.9:4500|ALLOW|ALLOW-4967|7680|725|svc-web8|NTLM|LOW
2025-08-08 06:26:59|TMG|SRV-WEB2|ICMP|192.168.208.169|65.3.196.155|DENY|ICMP-BLOCK-658|40|2311|guest3736|ANON|MEDIUM
2025-07-30 02:03:00|TMG|SRV-DB10|ICMP|10.25.91.107|151.236.15.197|ALLOW|ALLOW-3325|2218|1673|guest4967|ANON|MEDIUM
2025-07-28 12:32:13|TMG|SRV-DB14|ICMP|192.168.48.108|132.53.253.132|DENY|ICMP-BLOCK-850|3988|4349|admin10|KERBEROS|CRITICAL
2025-07-27 04:51:05|TMG|SRV-DC5|UDP|10.185.248.149:161|246.158.150.168:161|ALLOW|UDP-ACCESS-370|6556|3313|svc-app5|AUTH|CRITICAL
2025-07-24 11:25:01|TMG|SRV-APP9|UDP|172.25.44.173:500|73.152.55.43:1194|ALLOW|UDP-ACCESS-824|1095|3621|svc-db14|AUTH|HIGH
2025-08-15 07:31:49|TMG|SRV-DC18|TCP|10.93.57.54:8080|45.130.172.38:8443|DENY|TCP-BLOCK-896|1244|2705|guest9792|ANON|HIGH
2025-07-24 01:54:25|TMG|SRV-APP8|ICMP|172.27.224.57|87.128.37.209|ALLOW|ICMP-ACCESS-833|5320|3645|DOMAIN\user53|KERBEROS|HIGH
2025-08-16 00:15:40|TMG|SRV-APP1|UDP|192.168.128.174:53|192.168.53.180:3478|ALLOW|ALLOW-5069|5780|3700|DOMAIN\user14|AUTH|LOW
2025-07-23 19:35:00|TMG|SRV-WEB8|ICMP|10.187.81.247|85.252.252.244|DENY|ICMP-BLOCK-278|2815|542|admin12|KERBEROS|HIGH
2025-08-08 20:29:25|TMG|SRV-DC5|TCP|10.155.226.76:80|188.127.66.48:22|DENY|TCP-BLOCK-156|3200|1778|guest6531|ANON|CRITICAL
2025-07-24 06:20:21|TMG|SRV-WEB9|UDP|172.31.237.74:53|119.18.248.144:3478|DENY|UDP-BLOCK-346|5221|3660|admin2|AUTH|HIGH
2025-08-11 09:10:58|TMG|SRV-DC5|TCP|172.28.97.247:443|42.219.162.3:80|ALLOW|TCP-ACCESS-376|4810|2278|guest5134|ANON|HIGH
2025-07-25 14:22:07|TMG|SRV-DB5|TCP|10.58.221.231:3389|19.63.31.68:8080|DENY|TCP-BLOCK-340|43|3916|DOMAIN\user94|KERBEROS|CRITICAL
2025-08-11 12:25:15|TMG|SRV-DC18|UDP|10.66.23.62:3478|192.168.120.55:500|DENY|UDP-BLOCK-898|1894|335|DOMAIN\user80|NTLM|LOW
2025-08-06 00:59:50|TMG|SRV-WEB5|UDP|172.23.38.103:4500|118.74.196.152:53|DENY|UDP-BLOCK-520|2038|2021|svc-web15|NTLM|HIGH
2025-08-05 12:42:51|TMG|SRV-WEB9|ICMP|192.168.53.82|72.92.203.35|ALLOW|ALLOW-3602|7197|4016|admin6|NTLM|MEDIUM
2025-08-05 19:00:06|TMG|SRV-WEB19|TCP|10.150.75.254:8080|10.215.247.183:8443|ALLOW|TCP-ACCESS-553|7027|46|guest3180|ANON|LOW
2025-07-24 12:38:11|TMG|SRV-APP6|ICMP|172.21.27.222|223.186.56.74|ALLOW|ICMP-ACCESS-997|817|460|svc-db12|NTLM|CRITICAL
2025-07-25 05:27:14|TMG|SRV-WEB10|UDP|172.31.54.167:1194|42.214.239.37:123|DENY|UDP-BLOCK-631|5124|316|DOMAIN\user19|KERBEROS|MEDIUM
2025-08-15 02:11:06|TMG|SRV-WEB8|UDP|192.168.103.227:4500|222.170.220.242:123|DENY|UDP-BLOCK-152|6071|4764|DOMAIN\user85|NTLM|CRITICAL
2025-08-10 14:27:31|TMG|SRV-APP17|ICMP|192.168.58.93|50.214.12.39|DENY|ICMP-BLOCK-726|3520|4999|admin6|KERBEROS|MEDIUM
2025-08-12 22:56:49|TMG|SRV-APP7|ICMP|172.18.66.32|8.218.178.101|DENY|ICMP-BLOCK-885|8400|32|svc-app9|KERBEROS|CRITICAL
2025-08-12 23:52:10|TMG|SRV-WEB16|ICMP|172.30.198.72|192.168.72.59|ALLOW|ALLOW-2515|3749|2222|svc-app5|NTLM|HIGH
2025-07-27 10:32:16|TMG|SRV-DC12|TCP|172.20.144.48:22|235.101.95.112:80|DENY|TCP-BLOCK-795|7653|4867|admin18|KERBEROS|MEDIUM
2025-07-26 08:02:04|TMG|SRV-APP6|ICMP|10.187.100.23|66.2.95.28|DENY|ICMP-BLOCK-707|2902|1786|DOMAIN\user55|KERBEROS|HIGH
2025-07-28 12:06:34|TMG|SRV-APP16|TCP|192.168.0.160:443|10.180.171.160:8443|DENY|TCP-BLOCK-778|2821|3681|guest4371|ANON|HIGH
2025-08-17 13:46:17|TMG|SRV-WEB15|ICMP|10.233.226.128|181.94.52.152|DENY|ICMP-BLOCK-115|2189|337|guest9397|ANON|LOW
2025-08-06 01:43:34|TMG|SRV-DC14|TCP|192.168.215.242:8080|42.52.31.76:3389|DENY|TCP-BLOCK-752|1362|889|DOMAIN\user39|NTLM|LOW
2025-08-03 07:30:02|TMG|SRV-WEB16|TCP|172.18.6.243:443|153.85.33.224:8443|ALLOW|ALLOW-5390|6413|276|DOMAIN\user92|NTLM|CRITICAL
2025-08-02 00:43:10|TMG|SRV-DC3|TCP|192.168.90.170:443|145.13.85.105:8080|DENY|TCP-BLOCK-897|4593|692|DOMAIN\user11|KERBEROS|CRITICAL
2025-07-28 23:05:36|TMG|SRV-DC1|ICMP|10.27.15.151|117.5.200.111|ALLOW|ICMP-ACCESS-589|182|1290|DOMAIN\user74|AUTH|HIGH
2025-07-22 23:45:35|TMG|SRV-WEB3|UDP|192.168.133.47:3478|230.7.252.249:1194|DENY|UDP-BLOCK-848|5425|2288|svc-web12|AUTH|LOW
2025-08-13 13:34:22|TMG|SRV-DC10|ICMP|192.168.178.189|191.131.170.138|ALLOW|ALLOW-6298|774|3160|svc-web7|KERBEROS|HIGH
2025-08-17 21:37:44|TMG|SRV-DC4|UDP|10.217.114.215:1194|160.224.49.231:3478|DENY|UDP-BLOCK-440|6236|2893|DOMAIN\user19|NTLM|CRITICAL
2025-08-16 11:11:36|TMG|SRV-DB13|UDP|172.17.38.176:500|19.231.201.5:123|ALLOW|ALLOW-7442|6614|4664|guest3680|ANON|MEDIUM
2025-08-16 05:20:19|TMG|SRV-WEB5|TCP|192.168.198.60:80|111.55.223.177:443|ALLOW|ALLOW-9105|9645|4701|admin15|NTLM|CRITICAL
2025-08-01 00:30:54|TMG|SRV-APP18|TCP|192.168.101.124:80|179.170.191.169:8080|ALLOW|ALLOW-8134|3016|836|DOMAIN\user21|NTLM|MEDIUM
2025-08-08 00:21:35|TMG|SRV-DC18|UDP|192.168.246.231:161|169.113.243.26:500|DENY|UDP-BLOCK-287|6338|98|admin1|KERBEROS|CRITICAL
2025-07-28 23:11:16|TMG|SRV-DC2|UDP|172.28.149.154:161|115.61.1.8:161|DENY|UDP-BLOCK-326|9163|2275|DOMAIN\user99|AUTH|HIGH
2025-08-12 12:56:51|TMG|SRV-DC15|UDP|172.31.98.25:53|213.69.191.227:3478|DENY|UDP-BLOCK-482|2862|4725|svc-web15|NTLM|HIGH
2025-07-21 06:29:32|TMG|SRV-APP10|TCP|10.172.47.208:80|254.189.183.188:3389|DENY|TCP-BLOCK-144|3407|2237|admin20|AUTH|CRITICAL
2025-07-21 07:30:43|TMG|SRV-APP7|UDP|192.168.5.114:3478|104.7.168.178:161|DENY|UDP-BLOCK-481|4958|23|guest9855|ANON|MEDIUM
2025-08-05 22:38:15|TMG|SRV-APP11|TCP|10.234.240.79:443|125.227.78.180:443|ALLOW|ALLOW-8901|9398|3786|admin18|KERBEROS|CRITICAL
2025-08-11 00:22:12|TMG|SRV-WEB15|UDP|172.21.1.6:3478|81.102.188.193:161|ALLOW|ALLOW-2231|7855|280|admin1|NTLM|HIGH
2025-07-22 14:59:07|TMG|SRV-DC20|UDP|10.254.59.86:500|150.205.99.95:500|DENY|UDP-BLOCK-155|5912|4953|DOMAIN\user6|KERBEROS|MEDIUM
2025-07-24 05:53:30|TMG|SRV-WEB19|TCP|172.30.142.218:8443|96.30.226.158:8443|DENY|TCP-BLOCK-312|2700|420|DOMAIN\user15|KERBEROS|CRITICAL
2025-08-05 17:03:15|TMG|SRV-DB6|UDP|10.113.152.23:3478|71.227.109.102:161|ALLOW|ALLOW-6181|3050|3202|admin12|AUTH|CRITICAL
2025-07-21 20:50:29|TMG|SRV-DC15|TCP|192.168.51.110:8443|204.6.75.251:443|DENY|TCP-BLOCK-296|826|3803|svc-app1|KERBEROS|MEDIUM
2025-08-06 07:46:42|TMG|SRV-DB13|TCP|10.166.92.211:8443|204.69.108.254:22|DENY|TCP-BLOCK-396|9889|3367|DOMAIN\user71|NTLM|CRITICAL
